consolidated_id,title,year,venue,category,keywords,Latency,Reliability & QoS,Security & Privacy,Cost,Energy Consumption,Resource Management,Benchmarking & Evaluation
51,Scheduling Methods to Reduce Response Latency of Function as a Service,2020,IEEE SBAC-PAD,"ResourceMgmt, Performance","scheduling, latency",Yes,No,No,No,No,Yes,Yes
64,RL-Based Approach to Enhance Reliability and Efficiency in Autoscaling for Heterogeneous Edge Serverless Computing Environments,2024,IEEE,"Reliability, Performance","reliability, efficiency, autoscaling, edge computing, latency, resource management",Yes,Yes,No,No,No,Yes,Yes
65,Optimizing Cold Start Performance in Serverless Computing Environments,2024,IEEE,"Latency, Performance","cold start, latency, performance, reliability",Yes,Yes,No,No,No,No,Yes
66,A Low-Latency Edge-Cloud Serverless Computing Framework with a Multi-Armed Bandit Scheduler,2024,IEEE,"Latency, Resource Management","low-latency, edge-cloud, scheduling, multi-armed bandit",Yes,No,No,No,No,Yes,No
67,FUYAO: DPU-enabled Direct Data Transfer for Serverless Computing,2024,ACM,"Latency, Performance","data transfer, latency, DPU, performance",Yes,No,No,No,No,No,Yes
68,Tackling Cold Start in Serverless Computing with Multi-Level Container Reuse,2024,IEEE,"Latency, Resource Management","cold start, container reuse, resource management",Yes,No,No,No,No,Yes,No
77,Serverless Edge Computing Framework for Efficient Offloading Method with Time Frame Based Priority Resource Management,2024,IEEE,"Resource Management, Latency","edge computing, offloading, resource management, latency",Yes,No,No,No,No,Yes,No
85,Analyzing Tail Latency in Serverless Clouds with STeLLAR,2021,IEEE,"Latency, Benchmarking","tail latency, performance characterization, benchmarking",Yes,No,No,No,No,No,Yes
92,Serverless Computing & Function-as-a-Service (FaaS) Optimization,2023,TAJET,"Performance, Security","FaaS optimization, cold start, security, multi-cloud",Yes,No,Yes,No,No,No,Yes
102,A survey on cold-start latency approaches in serverless computing,2024,Computing,Latency,"cold start, latency, serverless",Yes,No,No,No,No,No,No
103,Optimizing cold start performance in serverless computing environments,2024,IEEE IC2E,"Latency, Performance","cold start, latency, performance",Yes,No,No,No,No,No,Yes
104,Low-latency edge-cloud serverless computing with a multi-armed bandit scheduler,2024,IEEE Transactions on Cloud Computing,"Latency, Resource Management","latency, edge computing, scheduling",Yes,No,No,No,No,Yes,No
105,FUYAO: DPU-enabled direct data transfer for serverless computing,2024,ACM SoCC,"Latency, Performance","data transfer, DPU, latency",Yes,No,No,No,No,No,Yes
106,Tackling cold start in serverless computing with multi-level container reuse,2024,IEEE Transactions on Cloud Computing,"Latency, Resource Management","container reuse, cold start, serverless",Yes,No,No,No,No,Yes,No
107,Analyzing tail latency in serverless clouds with STeLLAR,2021,IEEE ICDCS,"Latency, Benchmarking & Evaluation","tail latency, benchmarking",Yes,No,No,No,No,No,Yes
129,RL-Based Approach to Enhance Reliability and Efficiency in Autoscaling for Heterogeneous Edge Serverless Computing Environments,2024,IEEE,"Reliability, Performance, Resource Management","reliability, efficiency, autoscaling, edge computing, latency, resource management",Yes,Yes,No,No,No,Yes,Yes
130,Optimizing Cold Start Performance in Serverless Computing Environments,2024,IEEE,"Latency, Performance","cold start, latency, performance, reliability",Yes,Yes,No,No,No,No,Yes
131,A Low-Latency Edge-Cloud Serverless Computing Framework with a Multi-Armed Bandit Scheduler,2024,IEEE,"Latency, Resource Management","low-latency, edge-cloud, scheduling, multi-armed bandit",Yes,No,No,No,No,Yes,No
132,FUYAO: DPU-enabled Direct Data Transfer for Serverless Computing,2024,ACM,"Latency, Performance","data transfer, latency, DPU, performance",Yes,No,No,No,No,No,Yes
133,Tackling Cold Start in Serverless Computing with Multi-Level Container Reuse,2024,IEEE,"Latency, Resource Management","cold start, container reuse, resource management",Yes,No,No,No,No,Yes,No
152,Serverless Computing & Function-as-a-Service (FaaS) Optimization,2023,TAJET,"Performance, Security","FaaS optimization, cold start, security, multi-cloud",Yes,No,Yes,No,No,No,Yes
153,Cold Start Latency in Serverless Computing: A Systematic Review,2023,arXiv,"Latency, Survey","cold start latency, systematic review, serverless computing",Yes,No,No,No,No,No,No
164,LaSS: Running Latency Sensitive Serverless Computations at the Edge,2021,arXiv,"Latency, Edge Computing","latency sensitive, edge computing, serverless",Yes,No,No,No,No,No,No
