consolidated_id,title,year,venue,category,keywords,Latency,Reliability & QoS,Security & Privacy,Cost,Energy Consumption,Resource Management,Benchmarking & Evaluation
15,Cold Start Latency Prediction Framework in Serverless Edge Computing,2024,IEEE JSAC,"Performance, Latency","edge, cold start, prediction",Yes,No,No,No,No,No,Yes
25,WLEC: A Not So Cold Architecture to Mitigate Cold Start Problem in Serverless Computing,2020,IEEE IC2E,"Security, Performance","cold start, architecture",Yes,No,Yes,No,No,No,Yes
30,Cocoa: Cold Start Aware Capacity Planning for Function-as-a-Service Platforms,2020,IEEE MASCOTS,"QoS, Performance","capacity planning, cold start",Yes,Yes,No,No,No,No,Yes
31,Adaptive Function Launching Acceleration in Serverless Computing Platforms,2019,IEEE ICPADS,"QoS, Performance","pre-warm, scheduling",No,Yes,No,No,No,Yes,Yes
32,Caerus: NIMBLE Task Scheduling for Serverless Analytics,2021,USENIX NSDI,"QoS, Scheduling","analytics, scheduling, performance",No,Yes,No,No,No,Yes,Yes
35,Defuse: A Dependency-Guided Function Scheduler to Mitigate Cold Starts on FaaS Platforms,2021,IEEE ICDCS,"QoS, Performance","scheduler, cold start",Yes,Yes,No,No,No,No,Yes
36,Modeling and Optimization of Performance and Cost of Serverless Applications,2020,IEEE TPDS,"Cost, Performance",performance-cost model,No,No,No,Yes,No,No,Yes
37,Costless: Optimizing Cost of Serverless Computing through Function Fusion and Placement,2018,IEEE/ACM SEC,"Cost, Performance","cost optimization, fusion",No,No,No,Yes,No,No,Yes
41,Predicting Performance and Cost of Serverless Functions with SAAF,2020,IEEE DASC,"Cost, Performance","performance prediction, cost model",No,No,No,Yes,No,No,Yes
42,FaaSNet: Scalable and Fast Provisioning of Custom Serverless Container Runtimes,2021,USENIX ATC,"Cost, Performance","provisioning, startup, cost",Yes,No,No,Yes,No,Yes,Yes
45,On the Power Consumption of Serverless Functions: An Evaluation of OpenFaaS,2022,CIFS Workshop,"Energy, Performance","power consumption, OpenFaaS",No,No,No,No,Yes,No,Yes
48,Harvesting Idle Resources for Accelerating Serverless Computing,2022,The Web Conference (WWW),"Energy, Performance","idle resources, energy reuse",No,No,No,No,Yes,Yes,Yes
51,Scheduling Methods to Reduce Response Latency of Function as a Service,2020,IEEE SBAC-PAD,"ResourceMgmt, Performance","scheduling, latency",Yes,No,No,No,No,Yes,Yes
53,Adaptive Container Provisioning for Serverless Workflows (SFL Compiler),2021,WoSC '21,"ResourceMgmt, Performance","workflow, stateful functions",No,No,No,No,No,Yes,Yes
54,FunctionBench: A Suite of Workloads for Serverless Cloud Function Service,2019,IEEE CLOUD,"ResourceMgmt, Benchmarking","workloads, benchmark",No,No,No,No,No,Yes,Yes
55,Sizeless: Predicting the Optimal Size of Serverless Functions,2021,ACM Middleware,"ResourceMgmt, Performance","autoscaling, memory sizing",No,No,No,No,No,Yes,Yes
56,"Resource Management for Cloud Functions with Memory Tracing, Profiling and Autotuning",2020,6th Intl. Workshop on Serverless Computing,"ResourceMgmt, Performance","memory tuning, profiling",No,No,No,No,No,Yes,Yes
59,Optimizing Serverless Computing: Introducing an Adaptive Function Placement Algorithm,2019,CASCON,"ResourceMgmt, Performance","function placement, edge vs cloud",No,No,No,No,No,Yes,Yes
61,Comparison of FaaS Platform Performance in Private Clouds,2022,Proc. 12th CLOSER (SciTePress),"Performance, Benchmarking","OpenFaaS, OpenWhisk, private cloud",No,No,No,No,No,No,Yes
62,ElastiBench: Scalable Continuous Benchmarking on Cloud FaaS Platforms,2024,IEEE IC2E (arXiv preprint),"Benchmarking, Performance","continuous benchmarking, scalability",No,No,No,No,No,No,Yes
63,Performance Evaluation of Serverless Applications and Infrastructures,2022,PhD Thesis (Chalmers),"Performance, Benchmarking","benchmark survey, reproducibility",No,No,No,No,No,No,Yes
64,RL-Based Approach to Enhance Reliability and Efficiency in Autoscaling for Heterogeneous Edge Serverless Computing Environments,2024,IEEE,"Reliability, Performance","reliability, efficiency, autoscaling, edge computing, latency, resource management",Yes,Yes,No,No,No,Yes,Yes
65,Optimizing Cold Start Performance in Serverless Computing Environments,2024,IEEE,"Latency, Performance","cold start, latency, performance, reliability",Yes,Yes,No,No,No,No,Yes
67,FUYAO: DPU-enabled Direct Data Transfer for Serverless Computing,2024,ACM,"Latency, Performance","data transfer, latency, DPU, performance",Yes,No,No,No,No,No,Yes
69,FIAless: Asynchronous Programming for Large-Scale Burst Requests in Serverless Computing,2024,IEEE,"Performance, Resource Management","asynchronous programming, burst requests, performance, resource management",No,No,No,No,No,Yes,Yes
70,KneeScale: Efficient Resource Scaling for Serverless Computing at the Edge,2022,IEEE,"Resource Management, Performance","resource scaling, edge computing, auto-scaling",No,No,No,No,No,Yes,Yes
72,Enabling HPC Scientific Workflows for Serverless,2024,IEEE,"Resource Management, Performance","HPC, scientific workflows, resource management",No,No,No,No,No,Yes,Yes
79,On the Power Consumption of Serverless Functions: An Evaluation of OpenFaaS,2022,IEEE Conference,Energy Consumption,"power consumption, energy efficiency, OpenFaaS",No,No,No,No,Yes,No,Yes
80,A Performance Benchmark for Serverless Function Triggers,2022,IEEE IC2E,"Performance, Benchmarking","performance benchmark, function triggers, distributed tracing",No,No,No,No,No,No,Yes
83,Practical Cloud Workloads for Serverless FaaS,2019,ACM,Benchmarking,"workloads, FaaS, benchmarking, evaluation",No,No,No,No,No,No,Yes
84,FunctionBench: A Suite of Workloads for Serverless Cloud Function Service,2019,IEEE,Benchmarking,"benchmark, workloads, cloud functions",No,No,No,No,No,No,Yes
85,Analyzing Tail Latency in Serverless Clouds with STeLLAR,2021,IEEE,"Latency, Benchmarking","tail latency, performance characterization, benchmarking",Yes,No,No,No,No,No,Yes
86,Benchmarking Serverless Computing Platforms,2020,Springer,Benchmarking,"benchmarking, performance evaluation, cloud platforms",No,No,No,No,No,No,Yes
87,Comparison of FaaS Platform Performance in Private Clouds,2022,SCITEPRESS,"Performance, Benchmarking","FaaS platforms, private clouds, performance comparison",No,No,No,No,No,No,Yes
88,SeBS: A Serverless Benchmark Suite for Function-as-a-Service Computing,2021,ACM Middleware,Benchmarking,"benchmark suite, FaaS, performance evaluation",No,No,No,No,No,No,Yes
89,"Performance Evaluation Of Amazon's, Google's, And Microsoft's Serverless Functions: A Comparative Study",2021,IJSTR,"Performance, Benchmarking","AWS Lambda, Google Cloud Functions, Azure Functions, performance comparison",No,No,No,No,No,No,Yes
90,Evaluating Serverless Function Deployment Models on AWS Lambda,2025,SCITEPRESS,"Performance, Cost","deployment models, AWS Lambda, performance, cost",No,No,No,Yes,No,No,Yes
91,Function-as-a-Service Benchmarking Framework,2019,SCITEPRESS,Benchmarking,"benchmarking framework, FaaS, performance evaluation",No,No,No,No,No,No,Yes
92,Serverless Computing & Function-as-a-Service (FaaS) Optimization,2023,TAJET,"Performance, Security","FaaS optimization, cold start, security, multi-cloud",Yes,No,Yes,No,No,No,Yes
93,Rise of the Planet of Serverless Computing: A Systematic Review,2022,arXiv,Survey,"systematic review, serverless computing, performance optimization",No,No,No,No,No,No,Yes
95,An Application-Centric Benchmarking Framework for FaaS Platforms,2021,arXiv,Benchmarking,"application-centric, benchmarking, FaaS platforms",No,No,No,No,No,No,Yes
96,Function-as-a-Service Performance Evaluation: A Multivocal Literature Review,2020,arXiv,"Survey, Performance","performance evaluation, literature review, FaaS",No,No,No,No,No,No,Yes
97,Survey on serverless computing: Performance evaluation & benchmarking,2021,Journal of Cloud Computing,Benchmarking & Evaluation,"serverless, benchmarking, performance evaluation",No,No,No,No,No,No,Yes
98,Function-as-a-Service Performance Evaluation: A Multivocal Literature Review,2020,Journal of Systems and Software,Benchmarking & Evaluation,"FaaS, performance evaluation, literature review",No,No,No,No,No,No,Yes
99,Benchmarking Serverless Computing Platforms,2020,Journal of Grid Computing,Benchmarking & Evaluation,"serverless, benchmarking, cloud platforms",No,No,No,No,No,No,Yes
100,Serverless Computing: Current Trends and Open Problems – A Comprehensive Survey,2022,ACM Computing Surveys,Benchmarking & Evaluation,"serverless, survey, performance",No,No,No,No,No,No,Yes
103,Optimizing cold start performance in serverless computing environments,2024,IEEE IC2E,"Latency, Performance","cold start, latency, performance",Yes,No,No,No,No,No,Yes
105,FUYAO: DPU-enabled direct data transfer for serverless computing,2024,ACM SoCC,"Latency, Performance","data transfer, DPU, latency",Yes,No,No,No,No,No,Yes
107,Analyzing tail latency in serverless clouds with STeLLAR,2021,IEEE ICDCS,"Latency, Benchmarking & Evaluation","tail latency, benchmarking",Yes,No,No,No,No,No,Yes
108,EdgeFaaSBench: Benchmarking edge devices using serverless computing,2022,IEEE EDGE,Benchmarking & Evaluation,"edge computing, benchmark",No,No,No,No,No,No,Yes
109,BenchFaaS: Benchmarking serverless functions in an edge computing network testbed,2022,IEEE ICCCN,Benchmarking & Evaluation,"benchmark, edge network",No,No,No,No,No,No,Yes
110,Performance characterization of data-store event triggers for serverless computing,2025,IEEE ICDCS,Benchmarking & Evaluation,"event triggers, performance",No,No,No,No,No,No,Yes
111,SeBS-Flow: Benchmarking serverless cloud function workflows,2024,ACM SoCC,Benchmarking & Evaluation,"workflows, benchmark",No,No,No,No,No,No,Yes
112,Accelerating serverless computing by harvesting idle resources,2022,arXiv,Benchmarking & Evaluation,"resource harvesting, performance",No,No,No,No,No,Yes,Yes
113,Scalable continuous benchmarking on cloud FaaS platforms,2024,arXiv,Benchmarking & Evaluation,continuous benchmarking,No,No,No,No,No,No,Yes
114,Comparison of FaaS performance in private clouds,2022,SCITEPRESS,Benchmarking & Evaluation,"private cloud, FaaS",No,No,No,No,No,No,Yes
115,Evaluating serverless deployment models on AWS Lambda,2025,SCITEPRESS,"Benchmarking & Evaluation, Cost","AWS Lambda, cost, performance",No,No,No,Yes,No,No,Yes
116,Function-as-a-Service benchmarking framework,2019,SCITEPRESS,Benchmarking & Evaluation,benchmarking framework,No,No,No,No,No,No,Yes
117,Benchmarking serverless computing: performance and usability,2022,IGI Global,Benchmarking & Evaluation,"usability, performance",No,No,No,No,No,No,Yes
118,Serverless architecture for efficient Monte Carlo MCMC computation,2023,arXiv,"Resource Management, Performance","MCMC, serverless",No,No,No,No,No,Yes,Yes
123,On the power consumption of serverless functions: An evaluation,2022,IEEE Computers in Science & Engineering,Energy Consumption,"power consumption, OpenFaaS",No,No,No,No,Yes,No,Yes
127,GPU-oriented data transfer for serverless computing,2024,arXiv,"Performance, Resource Management","GPU transfer, performance",No,No,No,No,No,Yes,Yes
128,Caching aided multi-tenant serverless computing,2024,arXiv,"Performance, Resource Management","caching, multi-tenancy",No,No,No,No,No,Yes,Yes
129,RL-Based Approach to Enhance Reliability and Efficiency in Autoscaling for Heterogeneous Edge Serverless Computing Environments,2024,IEEE,"Reliability, Performance, Resource Management","reliability, efficiency, autoscaling, edge computing, latency, resource management",Yes,Yes,No,No,No,Yes,Yes
130,Optimizing Cold Start Performance in Serverless Computing Environments,2024,IEEE,"Latency, Performance","cold start, latency, performance, reliability",Yes,Yes,No,No,No,No,Yes
132,FUYAO: DPU-enabled Direct Data Transfer for Serverless Computing,2024,ACM,"Latency, Performance","data transfer, latency, DPU, performance",Yes,No,No,No,No,No,Yes
134,FIAless: Asynchronous Programming for Large-Scale Burst Requests in Serverless Computing,2024,IEEE,"Performance, Resource Management","asynchronous programming, burst requests, performance",No,No,No,No,No,Yes,Yes
135,KneeScale: Efficient Resource Scaling for Serverless Computing at the Edge,2022,IEEE,"Resource Management, Performance","resource scaling, edge computing, auto-scaling",No,No,No,No,No,Yes,Yes
137,Enabling HPC Scientific Workflows for Serverless,2024,IEEE,"Resource Management, Performance","HPC, scientific workflows, resource management",No,No,No,No,No,Yes,Yes
143,On the Power Consumption of Serverless Functions: An Evaluation of OpenFaaS,2022,IEEE Conference,Energy Consumption,"power consumption, energy efficiency, OpenFaaS",No,No,No,No,Yes,No,Yes
144,A Performance Benchmark for Serverless Function Triggers,2022,IEEE IC2E,"Performance, Benchmarking","performance benchmark, function triggers, distributed tracing",No,No,No,No,No,No,Yes
147,Practical Cloud Workloads for Serverless FaaS,2019,ACM,Benchmarking,"workloads, FaaS, benchmarking, evaluation",No,No,No,No,No,No,Yes
148,FunctionBench: A Suite of Workloads for Serverless Cloud Function Service,2019,IEEE,Benchmarking,"benchmark, workloads, cloud functions",No,No,No,No,No,No,Yes
149,Scalable Continuous Benchmarking on Cloud FaaS Platforms,2024,arXiv,Benchmarking,"continuous benchmarking, FaaS platforms, performance testing",No,No,No,No,No,No,Yes
150,Comparison of FaaS Platform Performance in Private Clouds,2022,SCITEPRESS,"Performance, Benchmarking","FaaS platforms, private clouds, performance comparison",No,No,No,No,No,No,Yes
151,Evaluating Serverless Function Deployment Models on AWS Lambda,2025,SCITEPRESS,"Performance, Cost","deployment models, AWS Lambda, performance, cost",No,No,No,Yes,No,No,Yes
152,Serverless Computing & Function-as-a-Service (FaaS) Optimization,2023,TAJET,"Performance, Security","FaaS optimization, cold start, security, multi-cloud",Yes,No,Yes,No,No,No,Yes
154,"Lightweight, Secure and Stateful Serverless Computing with PSL",2024,arXiv,"Security, Performance","lightweight computing, security, stateful serverless",No,No,Yes,No,No,No,Yes
155,Caching Aided Multi-Tenant Serverless Computing,2024,arXiv,"Performance, Resource Management","caching, multi-tenant, serverless computing",No,No,No,No,No,Yes,Yes
156,Towards Fast Setup and High Throughput of GPU Serverless Computing,2024,arXiv,Performance,"GPU serverless, fast setup, high throughput",No,No,No,No,No,No,Yes
160,FaaSTube: Optimizing GPU-oriented Data Transfer for Serverless Computing,2024,arXiv,Performance,"GPU optimization, data transfer, serverless computing",No,No,No,No,No,No,Yes
