consolidated_id,title,year,venue,category,keywords,Latency,Reliability & QoS,Security & Privacy,Cost,Energy Consumption,Resource Management,Benchmarking & Evaluation
57,EMARS: Efficient Management and Allocation of Resources in Serverless,2018,IEEE CLOUD,ResourceMgmt,"resource allocation, FaaS",No,No,No,No,No,Yes,No
58,Skedulix: Hybrid Cloud Scheduling for Cost-Efficient Serverless Execution,2020,IEEE CLOUD,"ResourceMgmt, Cost","hybrid cloud, scheduling",No,No,No,Yes,No,Yes,No
59,Optimizing Serverless Computing: Introducing an Adaptive Function Placement Algorithm,2019,CASCON,"ResourceMgmt, Performance","function placement, edge vs cloud",No,No,No,No,No,Yes,Yes
60,AuctionWhisk: Auction-Inspired Approach for Function Placement in Serverless Fog Platforms,2022,Software: Practice & Experience,"ResourceMgmt, Scheduling","fog computing, auction scheduling",No,No,No,No,No,Yes,No
64,RL-Based Approach to Enhance Reliability and Efficiency in Autoscaling for Heterogeneous Edge Serverless Computing Environments,2024,IEEE,"Reliability, Performance","reliability, efficiency, autoscaling, edge computing, latency, resource management",Yes,Yes,No,No,No,Yes,Yes
66,A Low-Latency Edge-Cloud Serverless Computing Framework with a Multi-Armed Bandit Scheduler,2024,IEEE,"Latency, Resource Management","low-latency, edge-cloud, scheduling, multi-armed bandit",Yes,No,No,No,No,Yes,No
68,Tackling Cold Start in Serverless Computing with Multi-Level Container Reuse,2024,IEEE,"Latency, Resource Management","cold start, container reuse, resource management",Yes,No,No,No,No,Yes,No
69,FIAless: Asynchronous Programming for Large-Scale Burst Requests in Serverless Computing,2024,IEEE,"Performance, Resource Management","asynchronous programming, burst requests, performance, resource management",No,No,No,No,No,Yes,Yes
70,KneeScale: Efficient Resource Scaling for Serverless Computing at the Edge,2022,IEEE,"Resource Management, Performance","resource scaling, edge computing, auto-scaling",No,No,No,No,No,Yes,Yes
71,Towards Quality of Experience Fairness for Serverless Functions,2024,IEEE,"QoS, Resource Management","QoS, fairness, resource allocation",No,Yes,No,No,No,Yes,No
72,Enabling HPC Scientific Workflows for Serverless,2024,IEEE,"Resource Management, Performance","HPC, scientific workflows, resource management",No,No,No,No,No,Yes,Yes
73,Optimizing Resource Management in Serverless Computing: A Dynamic Adaptive Scaling Approach,2024,IEEE,"Resource Management, Cost","dynamic scaling, resource management, cost optimization",No,No,No,Yes,No,Yes,No
74,ATOM: AI-Powered Sustainable Resource Management for Serverless Edge Computing Environments,2024,IEEE,"Resource Management, Energy Consumption","AI, sustainable computing, edge computing, energy efficiency",No,No,No,No,Yes,Yes,No
75,"Resource Management in Serverless Computing - Review, Research Challenges, and Prospects",2023,IEEE,"Resource Management, Survey","resource management, survey, QoS",No,Yes,No,No,No,Yes,No
76,Joint Resource Management and Pricing for Task Offloading in Serverless Edge Computing,2024,IEEE,"Resource Management, Cost","resource allocation, pricing, edge computing, energy efficiency",No,No,No,Yes,Yes,Yes,No
77,Serverless Edge Computing Framework for Efficient Offloading Method with Time Frame Based Priority Resource Management,2024,IEEE,"Resource Management, Latency","edge computing, offloading, resource management, latency",Yes,No,No,No,No,Yes,No
81,Designing Quality of Service aware Serverless Platforms,2024,IISc Thesis,QoS,"QoS, serverless platforms, resource allocation",No,Yes,No,No,No,Yes,No
104,Low-latency edge-cloud serverless computing with a multi-armed bandit scheduler,2024,IEEE Transactions on Cloud Computing,"Latency, Resource Management","latency, edge computing, scheduling",Yes,No,No,No,No,Yes,No
106,Tackling cold start in serverless computing with multi-level container reuse,2024,IEEE Transactions on Cloud Computing,"Latency, Resource Management","container reuse, cold start, serverless",Yes,No,No,No,No,Yes,No
112,Accelerating serverless computing by harvesting idle resources,2022,arXiv,Benchmarking & Evaluation,"resource harvesting, performance",No,No,No,No,No,Yes,Yes
118,Serverless architecture for efficient Monte Carlo MCMC computation,2023,arXiv,"Resource Management, Performance","MCMC, serverless",No,No,No,No,No,Yes,Yes
119,Efficiency in the serverless paradigm: reuse & approximation aspects,2023,Future Generation Computer Systems,Resource Management,"reuse, approximation",No,No,No,No,No,Yes,No
120,Resource management review in serverless computing,2023,IEEE Transactions on Cloud Computing,Resource Management,"auto-scaling, allocation",No,No,No,No,No,Yes,No
121,Joint resource management & pricing for serverless edge offloading,2024,IEEE Transactions on Services Computing,"Resource Management, Cost","pricing, edge offloading",No,No,No,Yes,No,Yes,No
122,ATOM: AI-powered sustainable resource management,2024,IEEE Transactions on Cloud Computing,"Resource Management, Energy Consumption","AI, sustainability",No,No,No,No,Yes,Yes,No
127,GPU-oriented data transfer for serverless computing,2024,arXiv,"Performance, Resource Management","GPU transfer, performance",No,No,No,No,No,Yes,Yes
128,Caching aided multi-tenant serverless computing,2024,arXiv,"Performance, Resource Management","caching, multi-tenancy",No,No,No,No,No,Yes,Yes
129,RL-Based Approach to Enhance Reliability and Efficiency in Autoscaling for Heterogeneous Edge Serverless Computing Environments,2024,IEEE,"Reliability, Performance, Resource Management","reliability, efficiency, autoscaling, edge computing, latency, resource management",Yes,Yes,No,No,No,Yes,Yes
131,A Low-Latency Edge-Cloud Serverless Computing Framework with a Multi-Armed Bandit Scheduler,2024,IEEE,"Latency, Resource Management","low-latency, edge-cloud, scheduling, multi-armed bandit",Yes,No,No,No,No,Yes,No
133,Tackling Cold Start in Serverless Computing with Multi-Level Container Reuse,2024,IEEE,"Latency, Resource Management","cold start, container reuse, resource management",Yes,No,No,No,No,Yes,No
134,FIAless: Asynchronous Programming for Large-Scale Burst Requests in Serverless Computing,2024,IEEE,"Performance, Resource Management","asynchronous programming, burst requests, performance",No,No,No,No,No,Yes,Yes
135,KneeScale: Efficient Resource Scaling for Serverless Computing at the Edge,2022,IEEE,"Resource Management, Performance","resource scaling, edge computing, auto-scaling",No,No,No,No,No,Yes,Yes
136,Towards Quality of Experience Fairness for Serverless Functions,2024,IEEE,"QoS, Resource Management","QoS, fairness, resource allocation",No,Yes,No,No,No,Yes,No
137,Enabling HPC Scientific Workflows for Serverless,2024,IEEE,"Resource Management, Performance","HPC, scientific workflows, resource management",No,No,No,No,No,Yes,Yes
138,Optimizing Resource Management in Serverless Computing: A Dynamic Adaptive Scaling Approach,2024,IEEE,"Resource Management, Cost","dynamic scaling, resource management, cost optimization",No,No,No,Yes,No,Yes,No
139,ATOM: AI-Powered Sustainable Resource Management for Serverless Edge Computing Environments,2024,IEEE,"Resource Management, Energy Consumption","AI, sustainable computing, edge computing, energy efficiency",No,No,No,No,Yes,Yes,No
140,"Resource Management in Serverless Computing - Review, Research Challenges, and Prospects",2023,IEEE,"Resource Management, Survey","resource management, survey, QoS",No,Yes,No,No,No,Yes,No
141,Joint Resource Management and Pricing for Task Offloading in Serverless Edge Computing,2024,IEEE,"Resource Management, Cost","resource allocation, pricing, edge computing, energy efficiency",No,No,No,Yes,Yes,Yes,No
145,Designing Quality of Service aware Serverless Platforms,2024,IISc Thesis,QoS,"QoS, serverless platforms, resource allocation",No,Yes,No,No,No,Yes,No
155,Caching Aided Multi-Tenant Serverless Computing,2024,arXiv,"Performance, Resource Management","caching, multi-tenant, serverless computing",No,No,No,No,No,Yes,Yes
159,Input-Based Ensemble-Learning Method for Dynamic Memory Configuration,2024,arXiv,Resource Management,"ensemble learning, memory configuration, serverless",No,No,No,No,No,Yes,No
165,Accelerating Serverless Computing by Harvesting Idle Resources,2022,arXiv,Resource Management,"resource harvesting, idle resources, acceleration",No,No,No,No,No,Yes,No
